DATA;ORA;LIVELLO IDROMETRICO;TEMPERATURA ARIA;UMIDITÀ RELATIVA;PRESSIONE ATMOSFERICA;DIREZIONE VENTO;VELOCITÀ VENTO
2025-02-01;08:50;-0,354;;;;208;0,5
2025-02-01;09:00;-0,355;12,7;98;1027,1;199;0,6
2025-02-01;09:10;-0,366;;;;225;1
2025-02-01;09:20;-0,372;;;;203;0,5
2025-02-01;09:30;-0,375;;;;191;0,6
2025-02-01;09:40;-0,374;;;;185;0,6
2025-02-01;09:50;-0,4;;;;163;0,4
2025-02-01;10:00;-0,404;14,5;95;1026,9;200;0,6
2025-02-01;10:10;-0,396;;;;221;1
2025-02-01;10:20;-0,402;;;;208;0,7
2025-02-01;10:30;-0,403;;;;172;0,8
2025-02-01;10:40;-0,405;;;;164;0,9
2025-02-01;10:50;-0,403;;;;168;0,6
2025-02-01;11:00;-0,436;15;84;1026,2;56;1,3
2025-02-01;11:10;-0,431;;;;43;1,7
2025-02-01;11:20;-0,417;;;;51;2,3
2025-02-01;11:30;-0,405;;;;48;2,7
2025-02-01;11:40;-0,411;;;;42;2,7
2025-02-01;11:50;-0,412;;;;42;2,8
2025-02-01;12:00;-0,395;14,2;84;1025,5;39;2,8
2025-02-01;12:10;-0,396;;;;38;2,8
2025-02-01;12:20;-0,389;;;;54;2,3
2025-02-01;12:30;-0,382;;;;64;2,2
2025-02-01;12:40;-0,375;;;;54;2,9
2025-02-01;12:50;-0,375;;;;48;3,3
2025-02-01;13:00;-0,354;14,6;81;1024,8;62;2,4
2025-02-01;13:10;-0,344;;;;66;2,2
2025-02-01;13:20;-0,352;;;;67;2,2
2025-02-01;13:30;-0,341;;;;70;2
2025-02-01;13:40;-0,342;;;;71;1,6
2025-02-01;13:50;-0,321;;;;75;1,8
2025-02-01;14:00;-0,305;14,5;81;1024,6;76;1,8
2025-02-01;14:10;-0,295;;;;77;1,9
2025-02-01;14:20;-0,297;;;;87;1,9
2025-02-01;14:30;-0,296;;;;88;2,1
2025-02-01;14:40;-0,283;;;;119;1,3
2025-02-01;14:50;-0,268;;;;87;1,7
2025-02-01;15:00;-0,266;13,9;82;1024,1;111;1,5
2025-02-01;15:10;-0,248;;;;91;1,8
2025-02-01;15:20;-0,24;;;;111;1,6
2025-02-01;15:30;-0,235;;;;103;1,3
2025-02-01;15:40;-0,237;;;;93;1,1
2025-02-01;15:50;-0,234;;;;99;1,1
2025-02-01;16:00;-0,231;13;85;1023,8;117;1,5
2025-02-01;16:10;-0,225;;;;116;1,5
2025-02-01;16:20;-0,222;;;;110;1,2
2025-02-01;16:30;-0,225;;;;145;1,2
2025-02-01;16:40;-0,219;;;;149;1,4
2025-02-01;16:50;-0,225;;;;153;1,5
2025-02-01;17:00;-0,219;11,8;87;1023,8;164;1,2
2025-02-01;17:10;-0,22;;;;147;1,8
2025-02-01;17:20;-0,222;;;;153;1,4
2025-02-01;17:30;-0,222;;;;152;1,5
2025-02-01;17:40;-0,222;;;;153;1,2
2025-02-01;17:50;-0,24;;;;175;0,9
2025-02-01;18:00;-0,233;11,2;90;1023,8;211;0,7
2025-02-01;18:10;-0,252;;;;159;1,2
2025-02-01;18:20;-0,255;;;;162;1,1
2025-02-01;18:30;-0,262;;;;150;1,1
2025-02-01;18:40;-0,281;;;;188;1
2025-02-01;18:50;-0,268;;;;194;1
2025-02-01;19:00;-0,268;10,3;91;1023,7;203;0,7
2025-02-01;19:10;-0,286;;;;170;1
2025-02-01;19:20;-0,295;;;;223;0,7
2025-02-01;19:30;-0,291;;;;144;1,3
2025-02-01;19:40;-0,31;;;;120;1,4
2025-02-01;19:50;-0,324;;;;119;1
2025-02-01;20:00;-0,329;9,6;92;1023,6;223;0,9
2025-02-01;20:10;-0,349;;;;237;1,2
2025-02-01;20:20;-0,367;;;;215;0,9
2025-02-01;20:30;-0,361;;;;210;0,8
2025-02-01;20:40;-0,364;;;;205;1,2
2025-02-01;20:50;-0,376;;;;162;1,2
2025-02-01;21:00;-0,369;9,4;94;1023,6;184;1
2025-02-01;21:10;-0,388;;;;145;1,1
2025-02-01;21:20;-0,406;;;;125;1,3
2025-02-01;21:30;-0,403;;;;183;0,9
2025-02-01;21:40;-0,401;;;;196;0,6
2025-02-01;21:50;-0,411;;;;157;1,2
2025-02-01;22:00;-0,416;9,2;95;1023,4;189;0,9
2025-02-01;22:10;-0,42;;;;187;0,8
2025-02-01;22:20;-0,43;;;;173;1,3
2025-02-01;22:30;-0,433;;;;134;1,6
2025-02-01;22:40;-0,414;;;;127;1,6
2025-02-01;22:50;-0,426;;;;119;1,2
2025-02-01;23:00;-0,426;9,1;95;1022,8;220;1,1
2025-02-01;23:10;-0,417;;;;133;1,3
2025-02-01;23:20;-0,41;;;;149;1,3
2025-02-01;23:30;-0,411;;;;158;1,1
2025-02-01;23:40;-0,385;;;;170;1,1
2025-02-01;23:50;-0,397;;;;215;0,7
2025-02-02;00:00;-0,411;9;96;1022,5;198;1
2025-02-02;00:10;-0,394;;;;185;0,8
2025-02-02;00:20;-0,401;;;;147;1,2
2025-02-02;00:30;-0,383;;;;128;1,4
2025-02-02;00:40;-0,356;;;;117;1,4
2025-02-02;00:50;-0,354;;;;134;1,4
2025-02-02;01:00;-0,347;10,4;96;1022,2;144;1,1
2025-02-02;01:10;-0,331;;;;133;1,1
2025-02-02;01:20;-0,316;;;;122;1,3
2025-02-02;01:30;-0,301;;;;138;1,1
2025-02-02;01:40;-0,312;;;;157;1
2025-02-02;01:50;-0,294;;;;123;1,2
2025-02-02;02:00;-0,28;11;97;1021,6;144;1,1
2025-02-02;02:10;-0,282;;;;136;1,1
2025-02-02;02:20;-0,282;;;;139;1,2
2025-02-02;02:30;-0,259;;;;131;1,3
2025-02-02;02:40;-0,234;;;;138;1,1
2025-02-02;02:50;-0,213;;;;143;1
2025-02-02;03:00;-0,205;10,5;95;1021,2;163;1
2025-02-02;03:10;-0,213;;;;156;0,9
2025-02-02;03:20;-0,227;;;;133;1,1
2025-02-02;03:30;-0,211;;;;116;0,9
2025-02-02;03:40;-0,191;;;;111;1,3
2025-02-02;03:50;-0,171;;;;119;1,2
2025-02-02;04:00;-0,192;13;98;1020,6;104;2
2025-02-02;04:10;-0,198;;;;111;2
2025-02-02;04:20;-0,208;;;;114;1,7
2025-02-02;04:30;-0,197;;;;109;1,9
2025-02-02;04:40;-0,17;;;;110;1,9
2025-02-02;04:50;-0,174;;;;111;2,4
2025-02-02;05:00;-0,197;13,8;96;1020;110;2,2
2025-02-02;05:10;-0,199;;;;103;2,2
2025-02-02;05:20;-0,204;;;;113;2,6
2025-02-02;05:30;-0,196;;;;117;2,5
2025-02-02;05:40;-0,204;;;;112;2,3
2025-02-02;05:50;-0,197;;;;108;2,5
2025-02-02;06:00;-0,201;14,1;93;1020,2;105;2,2
2025-02-02;06:10;-0,203;;;;103;2,1
2025-02-02;06:20;-0,216;;;;104;2,4
2025-02-02;06:30;-0,233;;;;100;2,5
2025-02-02;06:40;-0,239;;;;100;2,3
2025-02-02;06:50;-0,229;;;;99;2,4
2025-02-02;07:00;-0,222;14,4;92;1020,2;98;2,7
2025-02-02;07:10;-0,237;;;;98;2,6
2025-02-02;07:20;-0,255;;;;101;2,2
2025-02-02;07:30;-0,283;;;;98;1,9
2025-02-02;07:40;-0,296;;;;92;2,9
2025-02-02;07:50;-0,301;;;;98;2,2
2025-02-02;08:00;-0,268;14,8;90;1019,8;92;2,6
2025-02-02;08:10;-0,272;;;;86;2,8
2025-02-02;08:20;-0,307;;;;87;5,4
2025-02-02;08:30;-0,317;;;;89;5,3
2025-02-02;08:40;-0,321;;;;81;5,3
2025-02-02;08:50;-0,343;;;;78;5,4
2025-02-02;09:00;-0,321;13,9;87;1019,7;70;4,6
2025-02-02;09:10;-0,317;;;;66;5,2
2025-02-02;09:20;-0,346;;;;66;4,6
2025-02-02;09:30;-0,355;;;;80;5,7
2025-02-02;09:40;-0,365;;;;79;5,8
2025-02-02;09:50;-0,412;;;;78;5,3
2025-02-02;10:00;-0,395;15;89;1019,1;78;5,4
2025-02-02;10:10;-0,387;;;;83;4,5
2025-02-02;10:20;-0,378;;;;91;5,5
2025-02-02;10:30;-0,39;;;;91;5,6
2025-02-02;10:40;-0,395;;;;91;5,8
2025-02-02;10:50;-0,418;;;;90;4,9
2025-02-02;11:00;-0,409;15;90;1017,9;90;5
2025-02-02;11:10;-0,382;;;;91;5,3
2025-02-02;11:20;-0,396;;;;114;2,9
2025-02-02;11:30;-0,374;;;;113;2,7
2025-02-02;11:40;-0,369;;;;110;4,5
2025-02-02;11:50;-0,365;;;;98;5,6
2025-02-02;12:00;-0,393;15;91;1017,6;93;5,9
2025-02-02;12:10;-0,402;;;;106;5
2025-02-02;12:20;-0,389;;;;94;5,7
2025-02-02;12:30;-0,389;;;;96;5,9
2025-02-02;12:40;-0,387;;;;97;6
2025-02-02;12:50;-0,397;;;;95;5,5
2025-02-02;13:00;-0,369;14,2;86;1017,3;91;6,9
2025-02-02;13:10;-0,345;;;;88;6,3
2025-02-02;13:20;-0,343;;;;89;6,8
2025-02-02;13:30;-0,319;;;;93;5,9
2025-02-02;13:40;-0,323;;;;92;6
2025-02-02;13:50;-0,318;;;;83;6,5
2025-02-02;14:00;-0,318;14;85;1016,9;83;6,5
2025-02-02;14:10;-0,317;;;;78;5,7
2025-02-02;14:20;-0,29;;;;78;6,2
2025-02-02;14:30;-0,251;;;;77;5,3
2025-02-02;14:40;-0,253;;;;79;6,1
2025-02-02;14:50;-0,28;;;;85;5,8
2025-02-02;15:00;-0,267;14,3;87;1016,7;85;5,5
2025-02-02;15:10;-0,276;;;;92;6,2
2025-02-02;15:20;-0,268;;;;84;6,1
2025-02-02;15:30;-0,239;;;;85;6,2
2025-02-02;15:40;-0,217;;;;90;6,5
2025-02-02;15:50;-0,199;;;;92;5,5
2025-02-02;16:00;-0,202;14,6;88;1016,3;93;5,7
2025-02-02;16:10;-0,198;;;;89;6,6
2025-02-02;16:20;-0,216;;;;87;6,7
2025-02-02;16:30;-0,219;;;;86;6,4
2025-02-02;16:40;-0,197;;;;83;7,3
2025-02-02;16:50;-0,166;;;;82;7,3
2025-02-02;17:00;-0,169;14,1;89;1016,1;81;7,2
2025-02-02;17:10;-0,158;;;;79;7,2
2025-02-02;17:20;-0,16;;;;77;6,2
2025-02-02;17:30;-0,185;;;;82;6,8
2025-02-02;17:40;-0,187;;;;78;6,9
2025-02-02;17:50;-0,178;;;;71;6,3
2025-02-02;18:00;-0,172;14,3;91;1015,7;74;5,2
2025-02-02;18:10;-0,169;;;;83;6
2025-02-02;18:20;-0,19;;;;87;5,6
2025-02-02;18:30;-0,176;;;;90;5,5
2025-02-02;18:40;-0,18;;;;87;5,7
2025-02-02;18:50;-0,171;;;;87;6
2025-02-02;19:00;-0,172;15,1;91;1015,4;88;5,9
2025-02-02;19:10;-0,189;;;;90;5,9
2025-02-02;19:20;-0,189;;;;91;6,2
2025-02-02;19:30;-0,199;;;;92;5,9
2025-02-02;19:40;-0,218;;;;97;4,7
2025-02-02;19:50;-0,246;;;;94;4,5
2025-02-02;20:00;-0,246;15;91;1015,8;92;4,9
2025-02-02;20:10;-0,211;;;;99;4,4
2025-02-02;20:20;-0,242;;;;203;2,5
2025-02-02;20:30;-0,26;;;;219;3,4
2025-02-02;20:40;-0,271;;;;221;3
2025-02-02;20:50;-0,309;;;;211;1
2025-02-02;21:00;-0,242;11,3;92;1016,9;139;1
2025-02-02;21:10;-0,282;;;;96;2
2025-02-02;21:20;-0,322;;;;104;1,8
2025-02-02;21:30;-0,328;;;;175;0,8
2025-02-02;21:40;-0,322;;;;126;1
2025-02-02;21:50;-0,333;;;;115;1,1
2025-02-02;22:00;-0,279;11,3;94;1016,5;121;1,2
2025-02-02;22:10;-0,297;;;;92;2,8
2025-02-02;22:20;-0,317;;;;84;2,5
2025-02-02;22:30;-0,348;;;;65;3,8
2025-02-02;22:40;-0,342;;;;54;5,8
2025-02-02;22:50;-0,355;;;;88;1,8
2025-02-02;23:00;-0,355;12;94;1016,2;81;2,4
2025-02-02;23:10;-0,353;;;;75;1,8
2025-02-02;23:20;-0,333;;;;93;1,3
2025-02-02;23:30;-0,315;;;;170;0,8
2025-02-02;23:40;-0,321;;;;215;0,7
2025-02-02;23:50;-0,335;;;;212;0,9
2025-02-03;00:00;-0,344;11,7;94;1015,8;214;0,9
2025-02-03;00:10;-0,319;;;;148;0,9
2025-02-03;00:20;-0,306;;;;83;2,4
2025-02-03;00:30;-0,304;;;;64;3
2025-02-03;00:40;-0,327;;;;54;4
2025-02-03;00:50;-0,282;;;;61;2,6
2025-02-03;01:00;-0,304;12,4;95;1015,5;73;2,8
2025-02-03;01:10;-0,334;;;;77;4
2025-02-03;01:20;-0,341;;;;82;4
2025-02-03;01:30;-0,287;;;;75;3,7
2025-02-03;01:40;-0,272;;;;66;4,1
2025-02-03;01:50;-0,261;;;;64;4,4
2025-02-03;02:00;-0,253;12,9;94;1015,2;66;4,1
2025-02-03;02:10;-0,253;;;;71;4,2
2025-02-03;02:20;-0,244;;;;74;3,8
2025-02-03;02:30;-0,256;;;;80;3,6
2025-02-03;02:40;-0,241;;;;88;3,4
