DATA;ORA;LIVELLO IDROMETRICO;TEMPERATURA ACQUA;TEMPERATURA ARIA;PRECIPITAZIONE;UMIDITÀ RELATIVA;PRESSIONE ATMOSFERICA;DIREZIONE VENTO;VELOCITÀ VENTO
2025-02-04;15:00;-0,063;13,8;15,3;54,8;51;1023,6;226;1
2025-02-04;15:10;-0,079;;;54,8;;;242;0,9
2025-02-04;15:20;-0,096;;;54,8;;;245;1
2025-02-04;15:30;-0,103;;;54,8;;;244;0,9
2025-02-04;15:40;-0,111;;;54,8;;;237;1
2025-02-04;15:50;-0,108;;;54,8;;;240;0,6
2025-02-04;16:00;-0,132;13,8;14,9;54,8;54;1023,7;247;0,6
2025-02-04;16:10;-0,156;;;54,8;;;225;0,5
2025-02-04;16:20;-0,16;;;54,8;;;231;0,4
2025-02-04;16:30;-0,16;;;54,8;;;235;0,5
2025-02-04;16:40;-0,175;;;54,8;;;212;0,5
2025-02-04;16:50;-0,177;;;54,8;;;228;0,2
2025-02-04;17:00;-0,173;13,9;13,6;54,8;65;1024,1;318;0,2
2025-02-04;17:10;-0,194;;;54,8;;;277;0,6
2025-02-04;17:20;-0,208;;;54,8;;;232;0,8
2025-02-04;17:30;-0,214;;;54,8;;;237;0,7
2025-02-04;17:40;-0,22;;;54,8;;;234;0,5
2025-02-04;17:50;-0,231;;;54,8;;;244;0,6
2025-02-04;18:00;-0,222;13,9;12,5;54,8;73;1024,8;230;0,9
2025-02-04;18:10;-0,205;;;54,8;;;235;0,9
2025-02-04;18:20;-0,221;;;54,8;;;232;0,8
2025-02-04;18:30;-0,226;;;54,8;;;247;0,7
2025-02-04;18:40;-0,235;;;54,8;;;254;0,5
2025-02-04;18:50;-0,248;;;54,8;;;251;0,6
2025-02-04;19:00;-0,226;13,9;12,1;54,8;72;1025,3;318;0,7
2025-02-04;19:10;-0,218;;;54,8;;;4;1,5
2025-02-04;19:20;-0,227;;;54,8;;;318;0,7
2025-02-04;19:30;-0,226;;;54,8;;;220;1
2025-02-04;19:40;-0,219;;;54,8;;;224;1,2
2025-02-04;19:50;-0,223;;;54,8;;;272;0,9
2025-02-04;20:00;-0,225;13,9;11,8;54,8;77;1025,9;246;0,8
2025-02-04;20:10;-0,223;;;54,8;;;255;0,4
2025-02-04;20:20;-0,215;;;54,8;;;233;0,6
2025-02-04;20:30;-0,207;;;54,8;;;221;0,6
2025-02-04;20:40;-0,213;;;54,8;;;199;0,5
2025-02-04;20:50;-0,199;;;54,8;;;86;0,4
2025-02-04;21:00;-0,183;13,9;11,4;54,8;73;1026,3;81;0,9
2025-02-04;21:10;-0,179;;;54,8;;;76;0,8
2025-02-04;21:20;-0,158;;;54,8;;;135;0,2
2025-02-04;21:30;-0,148;;;54,8;;;61;0,7
2025-02-04;21:40;-0,154;;;54,8;;;273;0,5
